request_id,timestamp,method,uri,query_string,query_params_json,host,user_agent,content_type,accept,referer,cookie_hash,authorization_type,x_forwarded_for,body_truncated,body_len_original,source_ip,source_port,server_ip,server_port,proto,pcap_file,tcp_flags,tcp_flags_str,response_status,response_headers_json,response_size,response_time_ms,response_body_truncated,response_body_len_original,headers_raw,decision,threat_score,confidence,attack_type,model_version
bcfab4ec833d9d74af0c011ee753e960,"Wed, 10 Jun 2026 05:24:20 GMT",GET,/index.php/jsast-testing/management/settings/context,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",http://10.34.100.110/index.php/jsast-testing/management/settings/workflow,153a80808bfe65ff,,,,0,10.201.66.124,40256,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""cache-control"": ""max-age=0"", ""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8"", ""sec-gpc"": ""1"", ""cookie"": ""[MASKED]"", ""accept-language"": ""en-US,en;q=0.5"", ""referer"": ""http://10.34.100.110/index.php/jsast-testing/management/settings/workflow"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",BLOCK,0.5552,0.6107,UNKNOWN_ATTACK,rf-realistic-v1
9ef0757c0b73e2fb54a5bf547bcdada7,"Wed, 10 Jun 2026 05:24:20 GMT",GET,/index.php/jsast-testing/login?source=%2Findex.php%2Fjsast-testing%2Fmanagement%2Fsettings%2Fcontext,source=%2Findex.php%2Fjsast-testing%2Fmanagement%2Fsettings%2Fcontext,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",http://10.34.100.110/index.php/jsast-testing/management/settings/workflow,153a80808bfe65ff,,,,0,10.201.66.124,40256,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""cache-control"": ""max-age=0"", ""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8"", ""sec-gpc"": ""1"", ""cookie"": ""[MASKED]"", ""accept-language"": ""en-US,en;q=0.5"", ""referer"": ""http://10.34.100.110/index.php/jsast-testing/management/settings/workflow"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",BLOCK,0.92,1.0,UNKNOWN_ATTACK,rf-realistic-v1
1d6b482f1acfbe44a11ddf883cc359e3,"Wed, 10 Jun 2026 05:24:20 GMT",GET,/index.php/jsast-testing/$$$call$$$/page/page/css?name=font,name=font,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,"text/css,*/*;q=0.1",http://10.34.100.110/index.php/jsast-testing/login?source=%2Findex.php%2Fjsast-testing%2Fmanagement%2Fsettings%2Fcontext,153a80808bfe65ff,,,,0,10.201.66.124,40272,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""if-modified-since"": ""Wed, 10 Jun 2026 04:57:17 GMT"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""accept"": ""text/css,*/*;q=0.1"", ""sec-gpc"": ""1"", ""accept-language"": ""en-US,en;q=0.5"", ""cookie"": ""[MASKED]"", ""referer"": ""http://10.34.100.110/index.php/jsast-testing/login?source=%2Findex.php%2Fjsast-testing%2Fmanagement%2Fsettings%2Fcontext"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.185,0.815,NONE,rf-realistic-v1
5194cbde93b70646043fa00e2a4c0e51,"Wed, 10 Jun 2026 05:24:20 GMT",GET,/index.php/jsast-testing/$$$call$$$/page/page/css?name=stylesheet,name=stylesheet,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,"text/css,*/*;q=0.1",http://10.34.100.110/index.php/jsast-testing/login?source=%2Findex.php%2Fjsast-testing%2Fmanagement%2Fsettings%2Fcontext,153a80808bfe65ff,,,,0,10.201.66.124,40256,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""if-modified-since"": ""Wed, 10 Jun 2026 04:57:17 GMT"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""accept"": ""text/css,*/*;q=0.1"", ""sec-gpc"": ""1"", ""accept-language"": ""en-US,en;q=0.5"", ""cookie"": ""[MASKED]"", ""referer"": ""http://10.34.100.110/index.php/jsast-testing/login?source=%2Findex.php%2Fjsast-testing%2Fmanagement%2Fsettings%2Fcontext"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.2998,0.7002,NONE,rf-realistic-v1
b38530192134205342c77b166b2c9a28,"Wed, 10 Jun 2026 05:24:21 GMT",GET,/plugins/themes/default/js/lib/popper/popper.js.map,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,,,153a80808bfe65ff,,,,0,10.201.66.124,40256,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""accept-language"": ""en-US,en;q=0.9"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""cookie"": ""[MASKED]"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.4059,0.5941,NONE,rf-realistic-v1
fa5b43a760790c6fa43b887aeb2929c1,"Wed, 10 Jun 2026 05:24:21 GMT",GET,/plugins/themes/default/js/lib/bootstrap/util.js.map,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,,,153a80808bfe65ff,,,,0,10.201.66.124,40272,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""accept-language"": ""en-US,en;q=0.9"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""cookie"": ""[MASKED]"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.4059,0.5941,NONE,rf-realistic-v1
54cd6a880e87f74f5b4355baf9275aa9,"Wed, 10 Jun 2026 05:24:21 GMT",GET,/plugins/themes/default/js/lib/bootstrap/dropdown.js.map,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,,,153a80808bfe65ff,,,,0,10.201.66.124,40278,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""accept-language"": ""en-US,en;q=0.9"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""cookie"": ""[MASKED]"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.4559,0.5441,NONE,rf-realistic-v1
363922d22eddeec3bd2c21b6805acc67,"Wed, 10 Jun 2026 05:24:21 GMT",GET,/index.php/jsast-testing,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,,,153a80808bfe65ff,,,,0,10.201.66.124,40256,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""accept-language"": ""en-US,en;q=0.9"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""cookie"": ""[MASKED]"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.0101,0.9899,NONE,rf-realistic-v1
d0193685940bdadd5d099c0992e70a73,"Wed, 10 Jun 2026 05:24:21 GMT",GET,/index.php/jsast-testing,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,,,153a80808bfe65ff,,,,0,10.201.66.124,40278,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""accept-language"": ""en-US,en;q=0.9"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"", ""cookie"": ""[MASKED]"", ""host"": ""10.34.100.110"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.0101,0.9899,NONE,rf-realistic-v1
c4bed6cbed3cf45ce71db4103e901338,"Wed, 10 Jun 2026 05:24:21 GMT",POST,/index.php/jsast-testing/issue/view/3,,{},10.34.100.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",application/x-www-form-urlencoded,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",http://10.34.100.110/index.php/jsast-testing/issue/view/3,2081b6e1dd4de56b,,,recover=,8,10.201.66.124,47478,10.34.100.110,80,TCP,,,,0,{},0,-1,,0,"{""cache-control"": ""max-age=0"", ""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"", ""cookie"": ""[MASKED]"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8"", ""host"": ""10.34.100.110"", ""sec-gpc"": ""1"", ""accept-language"": ""en-US,en;q=0.9"", ""origin"": ""http://10.34.100.110"", ""referer"": ""http://10.34.100.110/index.php/jsast-testing/issue/view/3"", ""content-type"": ""application/x-www-form-urlencoded"", ""accept-encoding"": ""gzip, deflate"", ""connection"": ""keep-alive""}",PASS,0.3018,0.6982,NONE,rf-realistic-v1
